Name,School,POS,REC,YDS,AVG,LNG,TD
Rome Odunze,WASH,WR,92,"1,640",17.8,52,13
Malik Nabers,LSU,WR,89,"1,569",17.6,51,14
Ricky White III,UNLV,WR,88,"1,483",16.9,82,8
Malik Washington,UVA,WR,110,"1,426",13.0,64,9
Tetairoa McMillan,ARIZ,WR,90,"1,402",15.6,57,10
Troy Franklin,ORE,WR,81,"1,383",17.1,84,14
Caullin Lacy,USA,WR,91,"1,316",14.5,84,7
Xavier Legette,SC,WR,71,"1,255",17.7,76,7
Luther Burden III,MIZ,WR,86,"1,212",14.1,56,9
Marvin Harrison Jr.,OSU,WR,67,"1,211",18.1,75,14
Elijah Sarratt,JMU,WR,82,"1,191",14.5,48,8
Tez Johnson,ORE,WR,86,"1,182",13.7,77,10
Brian Thomas Jr.,LSU,WR,68,"1,177",17.3,86,17
LaJohntay Wester,FAU,WR,108,"1,168",10.8,76,8
Ja'Lynn Polk,WASH,WR,69,"1,159",16.8,92,9
Joshua Cephus,UTSA,WR,89,"1,151",12.9,84,10
Javon Baker,UCF,WR,52,"1,139",21.9,86,7
Tory Horton,CSU,WR,96,"1,136",11.8,76,8
Kris Mitchell,FIU,WR,64,"1,118",17.5,80,7
Xavier Restrepo,MIA,WR,85,"1,092",12.8,48,6
Roc Taylor,MEM,WR,69,"1,083",15.7,85,4
Jalen Royals,USU,WR,71,"1,080",15.2,71,15
CJ Daniels,LIB,WR,55,"1,067",19.4,75,10
Tahj Washington,USC,WR,59,"1,062",18.0,76,8
Isaiah Williams,ILL,WR,82,"1,055",12.9,67,5
Reggie Brown,JMU,WR,53,"1,054",19.9,80,9
Sean Atkins,USF,WR,92,"1,054",11.5,88,7
Kelly Akharaiyi,UTEP,WR,48,"1,033",21.5,80,7
Sam Pinckney,CCU,WR,72,"1,027",14.3,52,8
Steven McBride,HAW,WR,63,"1,024",16.3,65,9
Xavier Worthy,TEX,WR,75,"1,014",13.5,54,5
Elic Ayomanor,STAN,WR,62,"1,013",16.3,97,6
Ja'Mori Maclin,UNT,WR,57,"1,004",17.6,80,11
Jabre Barber,TROY,WR,75,999,13.3,52,5
Luke McCaffrey,RICE,WR,71,992,14.0,51,13
Brennan Presley,OKST,WR,101,991,9.8,29,6
Tre Harris,MISS,WR,54,985,18.2,56,8
Malachi Corley,WKU,WR,79,984,12.5,75,11
Jayden Higgins,ISU,WR,53,983,18.5,75,6
Ricky Pearsall,FLA,WR,65,965,14.8,61,4
Drake Stoops,OU,WR,84,962,11.5,60,10
Khaleb Hood,GASO,WR,101,948,9.4,43,5
Terrell Vaughn,USU,WR,89,933,10.5,76,11
Josh Kelly,WSU,WR,61,923,15.1,51,8
Xavier Weaver,COLO,WR,68,908,13.4,48,4
Kaedin Robinson,APP,WR,67,905,13.5,52,10
Demeer Blankumsee,MEM,WR,53,901,17.0,70,7
Kobe Hudson,UCF,WR,44,900,20.5,75,8
Rashod Owens,OKST,WR,63,895,14.2,45,5
Joey Hobert,TXST,WR,76,895,11.8,83,8
